time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1906-12-23T17:22:00.000Z,56.85,-153.9,,7.3,ms,,,,,ushis,ushis464,2018-06-04T20:43:44.000Z,"Kodiak Island region, Alaska",earthquake,,,,,reviewed,ushis,abe
1906-12-22T18:21:11.000Z,44.284,85.572,15,7.8,mw,,,,,iscgem,iscgem16957935,2020-07-09T21:57:06.469Z,"northern Xinjiang, China",earthquake,,,,,automatic,iscgem,iscgem
1906-10-24T14:43:18.000Z,36.79,67.021,35,7,mw,,,,,iscgemsup,iscgemsup16957929,2020-07-10T13:31:08.999Z,"central Afghanistan",earthquake,,,,,automatic,iscgem,iscgem
1906-09-28T15:24:41.000Z,-4.144,-77.273,100,6.8,mw,,,,,iscgemsup,iscgemsup16957922,2020-07-10T13:30:40.684Z,"northern Peru",earthquake,,,,,automatic,iscgem,iscgem
1906-09-14T16:04:43.000Z,-6.249,147.281,35,8,mw,,,,,iscgemsup,iscgemsup16957920,2020-07-10T13:30:19.204Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1906-08-25T13:47:26.000Z,7.415,40.813,15,6.5,mw,,,,,iscgemsup,iscgemsup16957915,2020-07-10T13:29:51.429Z,"Ethiopia",earthquake,,,,,automatic,iscgem,iscgem
1906-08-17T00:40:04.000Z,-32.4,-71.4,35,8.2,mw,,,,,iscgemsup,iscgemsup16957911,2020-07-10T13:29:30.676Z,"Valparaiso, Chile",earthquake,,,,,automatic,iscgem,iscgem
1906-08-17T00:11:10.000Z,51.853,178.18,110,8.3,mw,,,,,iscgem,iscgem16957912,2019-05-02T23:45:17.938Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1906-05-26T14:42:00.000Z,47.1,-88.64,,4.2,fa,,,,,ushis,ushis457,2018-06-04T20:43:44.000Z,"Michigan",earthquake,,,,,reviewed,ushis,sc
1906-05-10T00:27:00.000Z,43,-101.3,,3.7,fa,,,,,ushis,ushis456,2018-06-04T20:43:44.000Z,"South Dakota",earthquake,,,,,reviewed,ushis,sc
1906-04-23T09:10:00.000Z,41,-124,,6.4,ms,,,,,ushis,ushis452,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,ell
1906-04-19T00:30:00.000Z,32.9,-115.5,,6.28,mw,,,,,ushis,ushis451,2018-06-04T20:43:44.000Z,"Southern California",earthquake,,,,,reviewed,ushis,hht
1906-04-18T13:12:27.700Z,37.75,-122.55,11.7,7.9,mw,,,,,official,official19060418131226300_12,2020-09-10T01:04:25.237Z,"The 1906 San Francisco Earthquake",earthquake,10,7,,,reviewed,official,official
1906-03-03T20:25:00.000Z,33,-117,,4.5,ml,,,,,ushis,ushis449,2018-06-04T20:43:44.000Z,"Southern California",earthquake,,,,,reviewed,ushis,cdmg
1906-03-02T06:15:10.000Z,41.736,80.031,20,6.7,mw,,,,,iscgemsup,iscgemsup16957887,2020-07-10T13:29:11.418Z,"southern Xinjiang, China",earthquake,,,,,automatic,iscgem,iscgem
1906-01-31T15:36:10.000Z,0.955,-79.369,20,8.8,mw,,,,,official,official19060131153610_30,2020-07-10T14:28:07.187Z,"1906 Ecuador-Colombia Earthquake",earthquake,,,,,reviewed,iscgem,official
1906-01-21T13:49:33.000Z,34.167,138.101,300,7.4,mw,,,,,iscgem,iscgem16957883,2020-07-09T21:56:49.891Z,"near the south coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1906-01-08T00:15:00.000Z,39.3,-96.6,,4.9,fa,,,,,ushis,ushis447,2018-06-04T20:43:44.000Z,"Kansas",earthquake,,,,,reviewed,ushis,bar
